Geo Point,Geo Shape,infobulle,lib_voie,motdir,no,commune,insee,annee_creation,nb_places,coord_x,coord_y
" 43.5827392179861,1.4486477772767437","{""coordinates"": [[1.448647777276744, 43.5827392179861]], ""type"": ""MultiPoint""}",20 AV DE L URSS Type : Trottinette Nb Places : 8,AV DE L URSS,URSS (AV DE L URSS),20,TOULOUSE,31555,0,8,1.448648,43.582739
" 43.610988987008156,1.4411638293639335","{""coordinates"": [[1.441163829363934, 43.610988987008156]], ""type"": ""MultiPoint""}",15 BD D ARCOLE Type : Trottinette Nb Places : 8,BD D ARCOLE,ARCOLE (BD D ARCOLE),15,TOULOUSE,31555,0,8,0,0
" 43.60316651122492,1.4556511235740885","{""coordinates"": [[1.455651123574089, 43.60316651122492]], ""type"": ""MultiPoint""}",5 BD JULES MICHELET Type : Trottinette Nb Places : 8,BD JULES MICHELET,MICHELET (BD JULES MICHELET),5,TOULOUSE,31555,0,8,0,0
" 43.60714404559173,1.429893101270758","{""coordinates"": [[1.429893101270758, 43.60714404559173]], ""type"": ""MultiPoint""}",2 RUE DU BEARNAIS Type : Trottinette Nb Places : 8,RUE DU BEARNAIS,BEARNAIS (RUE DU BEARNAIS),2,TOULOUSE,31555,2017,8,1.429893,43.607144
" 43.60063807306142,1.4468210308671565","{""coordinates"": [[1.446821030867157, 43.60063807306142]], ""type"": ""MultiPoint""}",21 RUE DE METZ Type : Trottinette Nb Places : 8,RUE DE METZ,METZ (RUE DE METZ),21,TOULOUSE,31555,2018,8,1.446821,43.600638
" 43.598440055395656,1.453577725610662","{""coordinates"": [[1.453577725610662, 43.598440055395656]], ""type"": ""MultiPoint""}",12 RUE DES VASES Type : Trottinette Nb Places : 8,RUE DES VASES,VASES (RUE DES VASES),12,TOULOUSE,31555,0,8,0,0
" 43.604031434753914,1.4551537672066117","{""coordinates"": [[1.455153767206612, 43.604031434753914]], ""type"": ""MultiPoint""}",4 BD JULES MICHELET Type : Trottinette Nb Places : 8,BD JULES MICHELET,MICHELET (BD JULES MICHELET),4,TOULOUSE,31555,0,8,0,0
" 43.603736064302566,1.4537819527803906","{""coordinates"": [[1.453781952780391, 43.603736064302566]], ""type"": ""MultiPoint""}",5 IMP SAINT AUBIN Type : Trottinette Nb Places : 8,IMP SAINT AUBIN,AUBIN (IMP SAINT AUBIN),5,TOULOUSE,31555,0,8,0,0
" 43.58839659932972,1.4519932623231053","{""coordinates"": [[1.451993262323105, 43.58839659932972]], ""type"": ""MultiPoint""}",5 RUE D AURIOL Type : Trottinette Nb Places : 8,RUE D AURIOL,AURIOL (RUE D AURIOL),5,TOULOUSE,31555,0,8,0,0
" 43.595746564057094,1.4318125835129611","{""coordinates"": [[1.431812583512961, 43.595746564057094]], ""type"": ""MultiPoint""}",149 RUE DE CUGNAUX Type : Trottinette Nb Places : 8,RUE DE CUGNAUX,CUGNAUX (RUE DE CUGNAUX),149,TOULOUSE,31555,0,8,1.43157,43.5959
