Geo Point,Geo Shape,nom,num,rue,cp,stiadr,nature,gestion,type,precision_localisation
"43.57485140487531,1.463987418700334","{""coordinates"": [[1.463987418700334, 43.57485140487531]], ""type"": ""MultiPoint""}",CS Rangueil,21,rue Claude Forbin,31400,28960460021,CS,MAIRIE,,
"43.57124837491969,1.402385228025875","{""coordinates"": [[1.402385228025875, 43.57124837491969]], ""type"": ""MultiPoint""}",CS Reynerie,15,place Abbal,31100,37056350005,CS,CAFMAIRIE,,
"43.56535362881402,1.4021500044760027","{""coordinates"": [[1.402150004476003, 43.56535362881402]], ""type"": ""MultiPoint""}",CS Bellefontaine/Lafourguette,3,impasse Foulquier,31100,29096050003,CS,MAIRIE,,Espace Enfance et Familles Claude Nougar
"43.62655565208694,1.4682211187927083","{""coordinates"": [[1.468221118792708, 43.62655565208694]], ""type"": ""MultiPoint""}",CS APSAR,70,Chemin de Michoun,31500,46272360070,CS,ASSOCIATIF,,
"43.620652606411944,1.439840709828033","{""coordinates"": [[1.439840709828033, 43.620652606411944]], ""type"": ""MultiPoint""}",EVS La Passerelle Negreneys,38,Rue des Anges,31200,,EVS,,,
"43.59181771194308,1.468501067089209","{""coordinates"": [[1.468501067089209, 43.59181771194308]], ""type"": ""MultiPoint""}",CS Jean Rieux,157,av Jean Rieux,31500,59008290157,CS,ASSOCIATIF,,
"43.578971085388076,1.4164146102274129","{""coordinates"": [[1.416414610227413, 43.578971085388076]], ""type"": ""MultiPoint""}",CS Partage Faourette,13,rue de l'Ukraine,31100,38240540021,CS,ASSOCIATIF,,
"43.579420493142486,1.4113922856760859","{""coordinates"": [[1.411392285676086, 43.579420493142486]], ""type"": ""MultiPoint""}",CS Bagatelle,117,rue Henri Desbals,31100,22592240117,CS,ASSOCIATIF,ASSQOT,
"43.608484981800736,1.4778518897515653","{""coordinates"": [[1.477851889751565, 43.608484981800736]], ""type"": ""MultiPoint""}",CS Antenne Soupetard,12,Rue Charles Garnier,31500,30880140012,CS,MAIRIE,,
"43.61003877395336,1.4405356870904538","{""coordinates"": [[1.440535687090454, 43.61003877395336]], ""type"": ""MultiPoint""}",EVS l'Escabel,36,Rue Gatien Arnoult,31000,,EVS,,,
"43.617704540009136,1.4147856673356556","{""coordinates"": [[1.414785667335656, 43.617704540009136]], ""type"": ""MultiPoint""}",CS Sept Deniers,69,rue des Troënes,31200,69664060069,CS,ASSOCIATIF,ALLIANCES ET CULTURES,
"43.631470996811636,1.4327799848240503","{""coordinates"": [[1.43277998482405, 43.631470996811636]], ""type"": ""MultiPoint""}",CS Cap Nord,12,rue Marcel Clouet,31200,18304080012,CS,ASSOCIATIF,ALLIANCES ET CULTURES,
"43.57910781466866,1.4416952563635153","{""coordinates"": [[1.441695256363515, 43.57910781466866]], ""type"": ""MultiPoint""}",CS Empalot,38,avenue Jean Moulin,31400,48096340038,CS,CAFMAIRIE,,
"43.574861545591375,1.50111327357691","{""coordinates"": [[1.50111327357691, 43.574861545591375]], ""type"": ""MultiPoint""}",EVS ADIM'S,2,Chemin de Ribaute,31400,,EVS,,,
"43.5732495359481,1.4191627189745424","{""coordinates"": [[1.419162718974542, 43.5732495359481]], ""type"": ""MultiPoint""}",EVS MJC Prevert,292,Route de Seysses,31100,,EVS,,,
"43.65240336395818,1.4138169520476827","{""coordinates"": [[1.413816952047683, 43.65240336395818]], ""type"": ""MultiPoint""}",CS Espoir Tsigane Solidarité,,Itinerant Quartier Picarel,,,CS,,,
"43.61006245548551,1.4487947643236816","{""coordinates"": [[1.448794764323682, 43.61006245548551]], ""type"": ""MultiPoint""}",CS Raymond IV,4,Rue de l'Orient,31000,57632500020,CS,ASSOCIATIF,ALLIANCES ET CULTURES,
"43.636885465039754,1.443909030608917","{""coordinates"": [[1.443909030608917, 43.636885465039754]], ""type"": ""MultiPoint""}",CS Izards/Borderouge,1,chemin des Izards,31200,35680560001,CS,CAFMAIRIE,,
"43.569917468781924,1.4065432190327742","{""coordinates"": [[1.406543219032774, 43.569917468781924]], ""type"": ""MultiPoint""}",CS Bas d'Immeuble,2,Cheminement Jean Wiener,31100,,CS,,,
"43.61351988827568,1.4624684961950447","{""coordinates"": [[1.462468496195045, 43.61351988827568]], ""type"": ""MultiPoint""}",CS Jolimont,11,av de l'Observatoire,31500,50176400011,CS,MAIRIE,,
"43.59829309858364,1.4169818849386446","{""coordinates"": [[1.416981884938645, 43.59829309858364]], ""type"": ""MultiPoint""}",CS Polygone,18,rue Vincent Scotto,31300,84081240018,CS,ASSOCIATIF,ASSQOT,
"43.58122991904011,1.3998195389342956","{""coordinates"": [[1.399819538934296, 43.58122991904011]], ""type"": ""MultiPoint""}",CS Mirail Université / Pradettes,14,chemin du Mirail,31100,,CS,ASSOCIATIF,ALLIANCES ET CULTURES,
"43.5614053667107,1.3982738282663207","{""coordinates"": [[1.398273828266321, 43.5614053667107]], ""type"": ""MultiPoint""}",EVS CSF Mirail,14,Cheminemeny le Tintoret,31100,,EVS,,,
"43.61507023676955,1.3969459207866974","{""coordinates"": [[1.396945920786697, 43.61507023676955]], ""type"": ""MultiPoint""}",EVS Arènes Romaines,107,Avenue des Arenes Romaines,31300,,EVS,,,
