Geo Point,Geo Shape,lieu,commune_d_accueil,secteur,rayonnement,periodicite,n_telephone,insee
"43.58664894832088,1.333891071354575","{""coordinates"": [[1.333891071354575, 43.58664894832088]], ""type"": ""MultiPoint""}",7 rue Paul Valéry (MJD Ouest Quartier Paderne),Tournefeuille,Ouest,"Colomiers Tournefeuille, Pibrac, Brax",Tous les lundi et jeudi 14h – 17 h sur rendez-vous,05.61.78.69.18,31557
"43.57194774202168,1.4002654787392985","{""coordinates"": [[1.400265478739299, 43.57194774202168]], ""type"": ""MultiPoint""}",2 impasse Abbé Salvat (MJD Reynerie ),Toulouse,Sud Ouest,"Toulouse quartiers Sud Ouest, Cugnaux, Villeneuve Tolosane","Lundi, et mardi après-midi et vendredi matin sur rebdez-vous",05.61.43.06.94,31555
"43.63775076435328,1.4644463369345","{""coordinates"": [[1.4644463369345, 43.63775076435328]], ""type"": ""MultiPoint""}",147 route d’Albi (Mairie annexe Croix Daurade),Toulouse,Toulouse,Toulouse,1er et 3° vendredi du mois 8h30 – 12 h sur rendez-vous,05.61.99.84.80,31555
"43.65124852863649,1.327579938651873","{""coordinates"": [[1.327579938651873, 43.65124852863649]], ""type"": ""MultiPoint""}",2 place du Languedoc (CCAS),Cornebarrieu,Nord Ouest,"Blagnac, Beauzelle, Aussonne, Mondonville, Seilh, Cornebarrieu",1 samedi par mois 9h - 12 h sans rendez-vous,05.62.13.43.70,31150
"43.610880749917285,1.3347618744988383","{""coordinates"": [[1.334761874498838, 43.610880749917285]], ""type"": ""MultiPoint""}",Mairie,Colomiers,Ouest,"Colomiers Tournefeuille, Pibrac, Brax",2  mardis par mois 9h -12 h sur rendez-vous,05.61.15.22.22,31149
"43.635064455600826,1.3971969236617994","{""coordinates"": [[1.397196923661799, 43.635064455600826]], ""type"": ""MultiPoint""}",Mairie,Blagnac,Nord Ouest,"Blagnac, Beauzelle, Aussonne, Mondonville, Seilh, Cornebarrieu",1er et 3° vendredi du mois 14h – 17h sur rendez-vous,05.61.71.72.00,31069
"43.58542494230359,1.5304963395203186","{""coordinates"": [[1.530496339520319, 43.58542494230359]], ""type"": ""MultiPoint""}",Mairie,Quint Fonsegrives,Est,"L’union, Balma, Quint-Fonsegrives, Saint Orens,Pin-balma",Tous les deux mois (le dernier samedi) 9h -12 h sur rendez-vous,05.61.24.92.49,31445
"43.64651579802894,1.432948351427603","{""coordinates"": [[1.432948351427603, 43.64651579802894]], ""type"": ""MultiPoint""}",217 Route de Fronton (MJD),Toulouse – quartier Nord,Nord,"Toulouse quartiers Nord, Aucamville, Castelginest, Fenouillet, Saint Alban",lundi et jeudi après-midi et mercredi matin sur rendez-vous,05.34.42.29.50,31555
"43.60668906239134,1.494013079099914","{""coordinates"": [[1.494013079099914, 43.60668906239134]], ""type"": ""MultiPoint""}",25 av. J-B Lamarck (Espace La Marqueille),Balma,Est,"L’union, Balma, Quint-Fonsegrives, Saint Orens,Pin-balma",4° mercredi du mois 16h – 19h sur rendez-vous,05.61.24.92.72,31044
"43.556849470698246,1.3809302064524167","{""coordinates"": [[1.380930206452417, 43.556849470698246]], ""type"": ""MultiPoint""}",1 place de l’Eglise (Mairie annexe Saint Simon ),Toulouse,Toulouse,Toulouse,1er et 3° vendredi du mois 8h30 – 12 h sur rendez-vous,05.61.06.40.10,31555
"43.58737421769859,1.4618610216791041","{""coordinates"": [[1.461861021679104, 43.58737421769859]], ""type"": ""MultiPoint""}",7 avenue Saint Exupéry (Mairie annexe Demoiselles),Toulouse,Toulouse,Toulouse,1er et 3° vendredi du mois 8h30 – 12 h sur rendez-vous,05.61.53.47.40,31555
"43.62009247942178,1.4691554786109087","{""coordinates"": [[1.469155478610909, 43.62009247942178]], ""type"": ""MultiPoint""}",8 bis avenue du Parc (Mairie annexe Roseraie ),Toulouse,Toulouse,Toulouse,1er et 3° vendredi du mois 8h30 – 12 h sur rendez-vous,05.61.26.40.92,31555
"43.596012295033084,1.5069784918665716","{""coordinates"": [[1.506978491866572, 43.596012295033084]], ""type"": ""MultiPoint""}",2 allée Paul Gauguin (Quartier Noncesse ),Balma,Est,"L’union, Balma, Quint-Fonsegrives, Saint Orens,Pin-balma",2°mercredi du mois 16h – 19h sur rendez-vous,05.61.24.92.72,31044
"43.608947517167586,1.4522053267165949","{""coordinates"": [[1.452205326716595, 43.608947517167586]], ""type"": ""MultiPoint""}",2 bis rue de Belfort (CCAS de Toulouse),Toulouse,Toulouse,Toulouse,Tous les mardi 9h – 12 h sur rendez-vous,05.61.58.85.85,31555
